Time (ms),Voltage (V)
18093.0,-26.94
18106.0,-42.35
18119.0,-6.4
18132.0,1.11
18146.0,9.21
18159.0,31.29
18172.0,42.58
18186.0,64.13
18199.0,65.63
18212.0,2.81
18226.0,-29.49
18239.0,33.37
18252.0,41.97
18266.0,-144.86
18279.0,-391.68
18292.0,-482.16
18306.0,-438.45
18319.0,-370.51
18332.0,-255.94
18345.0,-76.28
18359.0,83.63
18372.0,159.49
18385.0,178.65
18399.0,183.03
18412.0,199.49
18425.0,242.85
18439.0,296.65
18452.0,351.87
18465.0,370.78
18479.0,236.43
18492.0,-91.61
18505.0,-394.56
18519.0,-409.91
18532.0,-242.79
18545.0,-169.75
18558.0,-188.08
18572.0,-161.28
18585.0,-47.68
18598.0,207.97
18612.0,552.62
18626.0,700.87
18639.0,555.54
18653.0,383.66
18666.0,368.8
18679.0,411.13
18693.0,371.8
18706.0,259.14
18719.0,194.54
18733.0,222.67
18746.0,225.86
18759.0,155.88
18772.0,110.74
18786.0,93.79
18799.0,55.38
18812.0,44.09
18826.0,52.49
18839.0,1.91
18852.0,-71.87
18866.0,-98.93
18879.0,-103.98
18892.0,-93.73
18906.0,-47.4
18919.0,-27.93
18932.0,-81.79
18946.0,-133.75
18959.0,-133.34
18972.0,-128.78
18985.0,-137.14
18999.0,-131.49
19012.0,-108.71
19025.0,-71.04
19039.0,-54.22
19052.0,-105.03
19065.0,-150.54
19079.0,-126.11
19092.0,-121.96
19105.0,-140.63
19119.0,-90.11
19132.0,-72.29
19145.0,-160.89
19159.0,-170.43
19172.0,-58.69
19185.0,-17.37
19198.0,-66.41
19212.0,-80.93
19225.0,-51.92
19238.0,-41.71
19252.0,-60.31
19266.0,-81.32
19279.0,-88.79
19293.0,-57.57
19306.0,8.6
19319.0,41.77
19333.0,2.06
19346.0,-66.0
19359.0,-93.73
19373.0,-87.66
19386.0,-100.1
19399.0,-113.82
19412.0,-103.33
19426.0,-93.57
19439.0,-76.02
19452.0,-38.96
19466.0,-16.81
19479.0,-10.19
19492.0,7.15
19506.0,25.76
19519.0,29.51
19532.0,18.12
19546.0,5.51
